indicator,age_modifier,sex_modifier,value,county,sub_indicator
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,46652,National,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,31464,National,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,10390,National,Number Of Education Institutions (Public & Private) SECONDARY 
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,111.5,National,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,110.8,National,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,111.2,National,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,MALE,78.6,National,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,FEMALE,77.7,National,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,78.1,National,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,MALE,51.2,National,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,FEMALE,57.2,National,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,54.1,National,Net Enrolment Rate (NER) SECONDARY TOTAL
Gender Parity Index,PREPRIMARY_ECE,TOTAL,0.97,National,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.96,National,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,1.01,National,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,52,National,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,40,National,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,29,National,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,53,National,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,37,National,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,40,National,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,MALE,87,National,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,87.1,National,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,87.1,National,Primary-To-Secondary Transition Rate SECONDARY TOTAL
FGM: Percentage of women aged 15-49 yrs who were ever circumcised across Kenya,TOTAL,FEMALE,0.148,National,Fgm: Percentage Of Women Aged 15-49 Yrs Who Were Ever Circumcised Across Kenya FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,1472,Makueni,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,1017,Makueni,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,407,Makueni,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,0.96,Makueni,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.94,Makueni,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,1.04,Makueni,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,36,Makueni,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,29,Makueni,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,28,Makueni,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,29,Makueni,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,28,Makueni,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,39,Makueni,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,65,Makueni,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,926,Makueni,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,1060,Makueni,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,30483,Makueni,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,31543,Makueni,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,12837,Makueni,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,12840,Makueni,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,25677,Makueni,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,1837,Makueni,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,1837,Makueni,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,3674,Makueni,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,144.3,Makueni,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,144.3,Makueni,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,144.3,Makueni,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
